channel,videos_found,total_views_in_sample,best_video_views,primary_niche,examples
FOTOVOLTAICA Energia Solar,2,6801,6441,Energia e rede elétrica,"[{""title"": ""O Sol Discovery Channel - FOTOVOLTAICA Energia Solar"", ""views"": 6441, ""url"": ""https://www.youtube.com/watch?v=1tURlByRMME""}, {""title"": ""Sol Indomável Discovery Channel - FOTOVOLTAICA Energia Solar"", ""views"": 360, ""url"": ""https://www.youtube.com/watch?v=vzyFRW8dRJ4""}]"
Beatriz Boturão,1,6055,6055,"Logística, portos e aeroportos","[{""title"": ""PORTO DE SANTOS - Passado e presente na voz de seus trabalhadores"", ""views"": 6055, ""url"": ""https://www.youtube.com/watch?v=WhIBSDav4XI""}]"
Sistema Famasul,1,5547,5547,"IA, tecnologia e software","[{""title"": ""INTELIGÊNCIA ARTIFICIAL NO CAMPO: o FUTURO do AGRONEGÓCIO [Podcast Campo em Prosa #4]"", ""views"": 5547, ""url"": ""https://www.youtube.com/watch?v=jEyMNenP7Ik""}]"
Cola aqui,1,5261,5261,"Finanças, dinheiro e impostos","[{""title"": ""Cola Aqui - EP 05 - A História dos Impostos"", ""views"": 5261, ""url"": ""https://www.youtube.com/watch?v=gxOolcx37uc""}]"
IndustrialEvo,1,4297,4297,"IA, tecnologia e software","[{""title"": ""Industry 4.0 Updated 2026 - How it was and how it is now"", ""views"": 4297, ""url"": ""https://www.youtube.com/watch?v=qvi1-glNDuM""}]"
Merecemos Mundo Melhor,1,4172,4172,"Finanças, dinheiro e impostos","[{""title"": ""Filme Bitcoin - Legendado em Português"", ""views"": 4172, ""url"": ""https://www.youtube.com/watch?v=mW3FEY3vSJI""}]"
Nilto Ribeiro,1,4113,4113,"Finanças, dinheiro e impostos","[{""title"": ""Documentário Banco ou Bitcoin ? legendado !"", ""views"": 4113, ""url"": ""https://www.youtube.com/watch?v=PAMRQRKvxds""}]"
Victor Kenji,1,3969,3969,Energia e rede elétrica,"[{""title"": ""Tudo sobre eletricidade (1997)"", ""views"": 3969, ""url"": ""https://www.youtube.com/watch?v=5PsvLNxaSe4""}]"
A Verdade TV,1,3785,3785,"Finanças, dinheiro e impostos","[{""title"": ""Arrecadação de impostos no Brasil é um roubo"", ""views"": 3785, ""url"": ""https://www.youtube.com/watch?v=irRC_qpXaCw""}]"
Cacto Filmes,1,3520,3520,"IA, tecnologia e software","[{""title"": ""Central Mineira: A Nova Fronteira Agropecuária do Brasil | Documentário"", ""views"": 3520, ""url"": ""https://www.youtube.com/watch?v=2yKKmg0s5Ik""}]"
Hacker Dragão,1,2074,2074,"Finanças, dinheiro e impostos","[{""title"": ""Documentario A guerra dos hackers"", ""views"": 2074, ""url"": ""https://www.youtube.com/watch?v=sNhQ-3MdKe0""}]"
ISH Tecnologia,1,1836,1836,"Finanças, dinheiro e impostos","[{""title"": ""PIX E MALWARES BANCÁRIOS: os golpes que ameaçam brasileiros"", ""views"": 1836, ""url"": ""https://www.youtube.com/watch?v=juAIY592BVA""}]"
FRONTLINE PBS BRASIL,1,1779,1779,"IA, tecnologia e software","[{""title"": ""Na Era da IA documentário completo | FRONTLINE"", ""views"": 1779, ""url"": ""https://www.youtube.com/watch?v=x0xUqIZDoL8""}]"
Aqueles Brigadeiros em Movimento,1,1386,1386,"Finanças, dinheiro e impostos","[{""title"": ""O que é Economia? uma breve introdução(documentário)"", ""views"": 1386, ""url"": ""https://www.youtube.com/watch?v=VxbwTTrHSfU""}]"
Terra,1,1290,1290,"Logística, portos e aeroportos","[{""title"": ""O MAIOR PORTO DO MUNDO - #documentário #mundo #projeto #China #vídeo #terminal  #portal"", ""views"": 1290, ""url"": ""https://www.youtube.com/watch?v=f07e1gw1QRQ""}]"
lazy lack,1,1172,1172,"Logística, portos e aeroportos","[{""title"": ""Transporte de Cargas: Maravilhas Modernas Documentário History Channel Brasil"", ""views"": 1172, ""url"": ""https://www.youtube.com/watch?v=KvC2EfwB8XE""}]"
Estruturas & BIM - Eng. Pedro ,1,1014,1014,Documentário/curiosidade geral,"[{""title"": ""Documentary Basic Sanitation in Brazil: The Reality from North to South and the Challenges for th..."", ""views"": 1014, ""url"": ""https://www.youtube.com/watch?v=a_AEU-wxTts""}]"
HORA DO REC FILMES,1,889,889,"Logística, portos e aeroportos","[{""title"": ""DOCUMENTÁRIO - TRANSPORTADORA BEIRA RIO -  50 ANOS  DE UM LEGADO"", ""views"": 889, ""url"": ""https://www.youtube.com/watch?v=9avu3s44abE""}]"
Plano A Lab,1,835,835,"Finanças, dinheiro e impostos","[{""title"": ""TODOS OS IMPOSTOS DO BRASIL EXPLICADOS DE FORMA FÁCIL (IR, ICMS, IPTU E MAIS)"", ""views"": 835, ""url"": ""https://www.youtube.com/watch?v=v8J9q8tBwbY""}]"
Silvio Lobo,1,752,752,"Finanças, dinheiro e impostos","[{""title"": ""Dinheiro brasileiro documentário"", ""views"": 752, ""url"": ""https://www.youtube.com/watch?v=6UsrybG0l0Q""}]"
Samuel Maia,1,720,720,"Água, saneamento e clima","[{""title"": ""Documentário sobre a crise da água"", ""views"": 720, ""url"": ""https://www.youtube.com/watch?v=DIN1jWtapfU""}]"
CINEBRASiLTV,1,632,632,"Finanças, dinheiro e impostos","[{""title"": ""Estreia de Agosto - Caminho da Renda - A História dos Impostos no Brasil"", ""views"": 632, ""url"": ""https://www.youtube.com/watch?v=WAtV-ADXniY""}]"
CUTCODE,1,532,532,"IA, tecnologia e software","[{""title"": ""LEVEL 3 - DATA CENTER BRASIL, Vídeo Institucional"", ""views"": 532, ""url"": ""https://www.youtube.com/watch?v=QiAFm7gaJHw""}]"
Momento Cybersecurity,1,490,490,"Finanças, dinheiro e impostos","[{""title"": ""Evolução da Prevenção à Fraude Financeira - Do papel ao digital"", ""views"": 490, ""url"": ""https://www.youtube.com/watch?v=kjcNo0D1p9E""}]"
TV Horizonte,1,473,473,"Água, saneamento e clima","[{""title"": ""Como funciona o saneamento básico no Brasil? | Tribuna Livre"", ""views"": 473, ""url"": ""https://www.youtube.com/watch?v=DoeCQJf2khY""}]"
Empreendedor Infantil,1,472,472,"IA, tecnologia e software","[{""title"": ""Documentário Sobre Agronegócio"", ""views"": 472, ""url"": ""https://www.youtube.com/watch?v=Uat7VpYTVWk""}]"
CyberPodcast-4U,1,465,465,"Finanças, dinheiro e impostos","[{""title"": ""Dark Web & PIX: Brazil’s largest bank robbery – R$800 million in 2 hours 30 minutes"", ""views"": 465, ""url"": ""https://www.youtube.com/watch?v=OH0eirdolWw""}]"
Top Bitcoin Gratis,1,444,444,"Finanças, dinheiro e impostos","[{""title"": ""Bitcoin no Mundo  - Documentário da Tv Portuguesa"", ""views"": 444, ""url"": ""https://www.youtube.com/watch?v=rXOMJ-IPC-M""}]"
Jrdrade,1,430,430,"Finanças, dinheiro e impostos","[{""title"": ""Filme SALDÃO DE IMPOSTO DO BRASIL.wmv"", ""views"": 430, ""url"": ""https://www.youtube.com/watch?v=RAEvlB-9mYM""}]"
Fábricas Silenciosas,1,429,429,Documentário/curiosidade geral,"[{""title"": ""Inside Tigre: How Brazil’s Largest Pipe Empire Was Built"", ""views"": 429, ""url"": ""https://www.youtube.com/watch?v=2xVunFh-lNc""}]"
GEOGRAFIZANDO O CEFET,1,386,386,"IA, tecnologia e software","[{""title"": ""AGRONEGÓCIO - O Mundo Segundo a Monsanto (em português)"", ""views"": 386, ""url"": ""https://www.youtube.com/watch?v=YY4VN2OVS9s""}]"
Centro Celso Furtado,1,362,362,"Finanças, dinheiro e impostos","[{""title"": ""Economy and Democracy Documentary"", ""views"": 362, ""url"": ""https://www.youtube.com/watch?v=X94AuNVe3Kw""}]"
Vinicius Lopes,1,254,254,"Logística, portos e aeroportos","[{""title"": ""Documentario Porto de Paranagua"", ""views"": 254, ""url"": ""https://www.youtube.com/watch?v=swi6YQJ9tA8""}]"
Aldenes Lopes,1,208,208,"Finanças, dinheiro e impostos","[{""title"": ""A Arrecadação de Impostos no Brasil"", ""views"": 208, ""url"": ""https://www.youtube.com/watch?v=XgRdv-yT_XM""}]"
Fernanda Slomp,1,183,183,"Água, saneamento e clima","[{""title"": ""saneamento Básico - documentário"", ""views"": 183, ""url"": ""https://www.youtube.com/watch?v=I5y4PfrWClI""}]"
fizz lack,1,173,173,"IA, tecnologia e software","[{""title"": ""Como Funciona o Cérebro? Documentário History Channel Brasil"", ""views"": 173, ""url"": ""https://www.youtube.com/watch?v=HCb-PDTjf1Q""}]"
Jackeline Leite,1,169,169,"Água, saneamento e clima","[{""title"": ""DOCUMENTÁRIO SOBRE SANEAMENTO BÁSICO E RESÍDUOS SÓLIDOS"", ""views"": 169, ""url"": ""https://www.youtube.com/watch?v=Vc-Fkkq8fEY""}]"
Arquivo Enigma,1,112,112,"Água, saneamento e clima","[{""title"": ""⚠️ A Crise Hídrica no Brasil: O Enigma da Água que Está Acabando (e o que a Mídia Não Conta)"", ""views"": 112, ""url"": ""https://www.youtube.com/watch?v=XFkpF9RTLgI""}]"
Saami Golf,1,85,85,"IA, tecnologia e software","[{""title"": ""Como o Brasil Ganha Bilhões com a Agricultura – Agricultura Moderna em Grande Escala"", ""views"": 85, ""url"": ""https://www.youtube.com/watch?v=VDd3ewvSoUk""}]"
BITLOCO - LOUCOS POR BITCOIN,1,66,66,"Finanças, dinheiro e impostos","[{""title"": ""Bitcoin  O fim do dinheiro como conhecemos - Documentário COMPLETO e legendado"", ""views"": 66, ""url"": ""https://www.youtube.com/watch?v=MjavbCSvQeQ""}]"
Professor Natã,1,59,59,"Finanças, dinheiro e impostos","[{""title"": ""Dica de filme: a história dos impostos"", ""views"": 59, ""url"": ""https://www.youtube.com/watch?v=J3Y5BxjwD1w""}]"
SOS POLÍCIA,1,53,53,"Finanças, dinheiro e impostos","[{""title"": ""O Golpe de R$ 1 Bilhão: Dentro do Maior Ataque via PIX -"", ""views"": 53, ""url"": ""https://www.youtube.com/watch?v=XxG6U6nnlbw""}]"
Sintaema-SP,1,41,41,"Água, saneamento e clima","[{""title"": ""Documentário A Crise da Água em São Paulo"", ""views"": 41, ""url"": ""https://www.youtube.com/watch?v=zcI1NNbqnGA""}]"
Daily tech hack,4,32,12,"Finanças, dinheiro e impostos","[{""title"": ""Golpes no Brasil: como eles funcionam e como se proteger"", ""views"": 12, ""url"": ""https://www.youtube.com/watch?v=1WrnMaGldHI""}, {""title"": ""Falsa central bancária: desligue antes de perder senha, token ou Pix"", ""views"": 12, ""url"": ""https://www.youtube.com/watch?v=Hcvu4sKxyAg""}, {""title"": ""Falsa central bancária: desligue antes de perder senha, token ou Pix"", ""views"": 1, ""url"": ""https://www.youtube.com/watch?v=LNuwk9WhUcw""}]"
